Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,K3NQT49,145.490000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
2,MRTHILL,146.790000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
3,K3NQT22,224.480000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
10,652SIM,146.520000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
11,220CALL,223.400000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
13,757SIM,147.570000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
14,658SIM,146.580000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
15,754SIM,147.540000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
16,655SIM,146.550000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
17,559SIM,145.590000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
21,KE3BA,145.290000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
22,N8YIB,145.330000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,S,,,,,
23,KQ3M,145.270000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
24,WR3AJL,146.625000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
25,KB3KWD,147.150000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
26,N3YFO,145.390000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
29,WA3WGN,146.940000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
30,N3LZX,147.375000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
33,KK3L,147.240000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
34,W3YMW,145.450000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
35,W3YMW,146.880000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
36,N3JJK,147.315000,+,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,S,,,,,
41,WX3M,146.850000,-,0.600000,Tone,192.8,88.5,023,NN,FM,5.00,S,,,,,
43,KK3L,146.745000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
80,WXJTWN,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
81,WXALTO,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
90,VUSAAPR,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
