Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,K3NQT490,145.49,-,0.6,Tone,123,88.5,23,NN,FM,5,,Kinton Knob,,,,
1,K3NQT444,444.2,+,5,Tone,123,88.5,23,NN,FM,5,,Kinton Knob,,,,
2,MRTHILL,146.79,-,0.6,Tone,123,88.5,23,NN,FM,5,,Martin Hill,,,,
10,652SIM,146.52,,0,Tone,123,88.5,23,NN,FM,5,,National 2m Calling freq,,,,
12,70CMCALL,446,,5,Tone,123,88.5,23,NN,FM,5,,National 70cm Calling Freq,,,,
13,757SIM,147.57,,0,Tone,123,88.5,23,NN,FM,5,,TAC-7 Bedford 2m County Call,,,,
14,658SIM,146.58,,0,Tone,123,88.5,23,NN,FM,5,,TAC-8 Blair 2M County Call,,,,
15,754SIM,147.54,,0,Tone,123,88.5,23,NN,FM,5,,TAC-4 Cambria 2M County Call,,,,
16,655SIM,146.55,,0,Tone,123,88.5,23,NN,FM,5,,TAC-5 Somerset 2M County Call,,,,
17,559SIM,145.59,,0,Tone,123,88.5,23,NN,FM,5,,WPA Distric 2 South 2M Call,,,,
20,KE3UC,443.575,+,5,Tone,123,88.5,23,NN,FM,5,S,"Central City, PA",,,,
21,KE3BA,145.29,-,0.6,Tone,123,88.5,23,NN,FM,5,S,New Baltimore,,,,
22,N8YIB,145.33,-,0.6,Tone,118.8,88.5,23,NN,FM,5,S,Cumberland,,,,
23,KQ3M,145.27,-,0.6,Tone,123,88.5,23,NN,FM,5,S,Meyersdale,,,,
24,WR3AJL,146.625,-,0.6,Tone,123,88.5,23,NN,FM,5,S,"Central City, PA",,,,
25,KB3KWD,147.15,+,0.6,Tone,167.9,88.5,23,NN,FM,5,S,"Blue Knob, PA",,,,
26,N3YFO,145.39,-,0.6,Tone,123,88.5,23,NN,FM,5,S,Johnstown,,,,
27,WX3M,443.05,+,5,Tone,123,88.5,23,NN,FM,5,S,Cumberland,,,,
28,N3LZV,443.15,+,5,Tone,123,88.5,23,NN,FM,5,S,"Carnbrook, PA",,,,
29,WA3WGN,146.94,-,0.6,Tone,123,88.5,23,NN,FM,5,S,"Johnstown, PA",,,,
30,N3LZX,147.375,+,0.6,Tone,123,88.5,23,NN,FM,5,S,"Johnstown, PA",,,,
31,N3YFO,442.825,+,5,Tone,123,88.5,23,NN,FM,5,S,"Johnstown, PA",,,,
32,N3XCC,444.375,+,5,Tone,127.3,88.5,23,NN,FM,5,S,"Meyersdale, PA",,,,
33,KK3L,147.24,+,0.6,Tone,123,88.5,23,NN,FM,5,S,"Frostburg, MD",,,,
34,W3YMW,145.45,-,0.6,Tone,123,88.5,23,NN,FM,5,S,"Flintstone, MD",,,,
35,W3YMW,146.88,-,0.6,Tone,123,88.5,23,NN,FM,5,S,"Midland, MD",,,,
36,N3JJK,147.315,+,0.6,Tone,118.8,88.5,23,NN,FM,5,S,"Frostburg, MD",,,,
37,AB3FE,442.3,+,5,Tone,167.9,88.5,23,NN,FM,5,S,"Cumberland, MD",,,,
38,AB3FE,442.75,+,5,Tone,167.9,88.5,23,NN,FM,5,S,"Midland, MD",,,,
39,KK3L,444,+,5,Tone,123,88.5,23,NN,FM,5,S,"Cumberland, MD",,,,
40,W3YMW,444.5,+,5,Tone,118.8,88.5,23,NN,FM,5,S,"Midland, MD",,,,
41,WX3M,146.85,-,0.6,Tone,192.8,88.5,23,NN,FM,5,S,"Cumberland, MD",,,,
42,N3ITA,442.8,+,5,Tone,79.7,88.5,23,NN,FM,5,S,"Johnstown, PA",,,,
43,KK3L,146.745,-,0.6,Tone,123,88.5,23,NN,FM,5,S,"Berkeley Springs, WV",,,,
50,FRS1,462.5625,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
51,FRS2,462.5875,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
52,FRS3,462.6125,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
53,FRS4,462.6375,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
54,FRS5,462.6625,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
55,FRS6,462.6875,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
56,FRS7,462.7125,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
57,FRS8,467.5625,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
58,FRS9,467.5875,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
59,FRS10,467.6125,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
60,FRS11,467.6375,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
61,FRS12,467.6625,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
62,FRS13,467.6875,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
63,FRS14,467.7125,,0,,88.5,88.5,23,NN,NFM,5,S,,,,,
64,GMRS1,462.55,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
65,GMRS2,462.575,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
66,GMRS3,462.6,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
67,GMRS4,462.625,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
68,GMRS5,462.65,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
69,GMRS6,462.675,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
70,GMRS7,462.7,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
71,GMRS8,462.725,,0,,88.5,88.5,23,NN,FM,5,S,,,,,
79,DISPATCH,453.7875,,0,,88.5,88.5,23,NN,FM,5,,BEDCO Fire/EMS DISPATCH,,,,
80,WXJTWN,162.4,,0,,88.5,88.5,23,NN,FM,5,S,NOAA JOHNSTOWN,,,,
81,WXALTO,162.425,,0,,88.5,88.5,23,NN,FM,5,S,NOAA ALTOONA,,,,
90,VUSAAPRS,144.39,,0,,88.5,88.5,23,NN,FM,5,S,National APRS,,,,
